src_person,dst_person,relation,shared_universities,same_grad_year
Mark Zuckerberg,$,LINKS_TO,,0
Mark Zuckerberg,14 tháng 5,LINKS_TO,,0
Mark Zuckerberg,1984,LINKS_TO,,0
Mark Zuckerberg,2002,LINKS_TO,,0
Mark Zuckerberg,2013,LINKS_TO,,0
Mark Zuckerberg,2015,LINKS_TO,,0
Mark Zuckerberg,Adam D'Angelo,LINKS_TO,,0
Mark Zuckerberg,America (magazine),LINKS_TO,,0
Mark Zuckerberg,Andrei Alexandrescu,LINKS_TO,,0
Mark Zuckerberg,Andrew McCollum,LINKS_TO,,0
Mark Zuckerberg,Angela Merkel,LINKS_TO,,0
Mark Zuckerberg,Apache Cassandra,LINKS_TO,,0
Mark Zuckerberg,Apache Hive,LINKS_TO,,0
Mark Zuckerberg,Apache Thrift,LINKS_TO,,0
Mark Zuckerberg,BBC,LINKS_TO,,0
Mark Zuckerberg,BBC News,LINKS_TO,,0
Mark Zuckerberg,Ba Lan,LINKS_TO,,0
Mark Zuckerberg,Bar Mitzvah,LINKS_TO,,0
Mark Zuckerberg,Barack Obama,LINKS_TO,,0
Mark Zuckerberg,Ben Bernanke,LINKS_TO,,0
Mark Zuckerberg,Bill Gates,LINKS_TO,,0
Mark Zuckerberg,Biểu đồ xã hội,LINKS_TO,,0
Mark Zuckerberg,Bono,LINKS_TO,,0
Mark Zuckerberg,Bret Taylor,LINKS_TO,,0
Mark Zuckerberg,C-SPAN,LINKS_TO,,0
Mark Zuckerberg,Capital Gazette shooting,LINKS_TO,,0
Mark Zuckerberg,Cenk Uygur,LINKS_TO,,0
Mark Zuckerberg,Charlie Cheever,LINKS_TO,,0
Mark Zuckerberg,Chris Cox,LINKS_TO,,0
Mark Zuckerberg,Chris Hughes,LINKS_TO,,0
Mark Zuckerberg,Chris Kelly,LINKS_TO,,0
Mark Zuckerberg,Chính bạn (Nhân vật của năm),LINKS_TO,,0
Mark Zuckerberg,Coleen Rowley,LINKS_TO,,0
Mark Zuckerberg,CourseMatch,LINKS_TO,,0
Mark Zuckerberg,Cynthia Cooper (nhân viên kế toán),LINKS_TO,,0
Mark Zuckerberg,Câu lạc bộ Sierra,LINKS_TO,,0
Mark Zuckerberg,Cổ phiếu,LINKS_TO,,0
Mark Zuckerberg,Diaspora,LINKS_TO,,0
Mark Zuckerberg,Do Thái giáo,LINKS_TO,,0
Mark Zuckerberg,"Dobbs Ferry, New York",LINKS_TO,,0
Mark Zuckerberg,Donald E. Graham,LINKS_TO,,0
Mark Zuckerberg,Donald Trump,LINKS_TO,,0
Mark Zuckerberg,Dustin Moskovitz,LINKS_TO,,0
Mark Zuckerberg,Dân chủ cho Mỹ,LINKS_TO,,0
Mark Zuckerberg,Dịch bệnh Ebola tại châu Phi năm 2014,LINKS_TO,,0
Mark Zuckerberg,Dụ ngôn Người Samaria nhân lành,LINKS_TO,,0
Mark Zuckerberg,Eduardo Saverin,LINKS_TO,,0
Mark Zuckerberg,Elliot Schrage,LINKS_TO,,0
Mark Zuckerberg,Elma Rosas,LINKS_TO,,0
Mark Zuckerberg,Elon Musk,LINKS_TO,,0
Mark Zuckerberg,Facebook,LINKS_TO,,0
Mark Zuckerberg,Facebook Beacon,LINKS_TO,,0
Mark Zuckerberg,Facebook Query Language,LINKS_TO,,0
Mark Zuckerberg,Facemash,LINKS_TO,,0
Mark Zuckerberg,Forbes,LINKS_TO,,0
Mark Zuckerberg,Frederik Willem de Klerk,LINKS_TO,,0
Mark Zuckerberg,George W. Bush,LINKS_TO,,0
Mark Zuckerberg,Gideon Yu,LINKS_TO,,0
Mark Zuckerberg,Gigaom,LINKS_TO,,0
Mark Zuckerberg,Giáo hoàng Phanxicô,LINKS_TO,,0
Mark Zuckerberg,Greta Thunberg,LINKS_TO,,0
Mark Zuckerberg,Haaretz,LINKS_TO,,0
Mark Zuckerberg,Harvard Gazette,LINKS_TO,,0
Mark Zuckerberg,HipHop for PHP,LINKS_TO,,0
Mark Zuckerberg,Hiệu ứng Facebook (sách),LINKS_TO,,0
Mark Zuckerberg,Hoa Kỳ,LINKS_TO,,0
Mark Zuckerberg,Hư thai,LINKS_TO,,0
Mark Zuckerberg,Hạt Westchester,LINKS_TO,,0
Mark Zuckerberg,IPO,LINKS_TO,,0
Mark Zuckerberg,ISBN,LINKS_TO,,0
Mark Zuckerberg,Internet,LINKS_TO,,0
Mark Zuckerberg,Internet Movie Database,LINKS_TO,,0
Mark Zuckerberg,Jamal Khashoggi,LINKS_TO,,0
Mark Zuckerberg,Jim Breyer,LINKS_TO,,0
Mark Zuckerberg,Joe Biden,LINKS_TO,,0
Mark Zuckerberg,Kamala Harris,LINKS_TO,,0
Mark Zuckerberg,Kent Brantly,LINKS_TO,,0
Mark Zuckerberg,Khu bảo tồn Động vật Hoang dã Quốc gia Bắc cực,LINKS_TO,,0
Mark Zuckerberg,Kiểm soát tính nhất quán,LINKS_TO,,0
Mark Zuckerberg,Ký túc xá sinh viên,LINKS_TO,,0
Mark Zuckerberg,Lev Grossman,LINKS_TO,,0
Mark Zuckerberg,Lập trình máy tính,LINKS_TO,,0
Mark Zuckerberg,Lịch sử của Facebook,LINKS_TO,,0
Mark Zuckerberg,M (trợ lý ảo),LINKS_TO,,0
Mark Zuckerberg,Marc Andreessen,LINKS_TO,,0
Mark Zuckerberg,Maria Ressa,LINKS_TO,,0
Mark Zuckerberg,Matt Cohler,LINKS_TO,,0
Mark Zuckerberg,Melinda Gates,LINKS_TO,,0
Mark Zuckerberg,Meta (công ty),LINKS_TO,,0
Mark Zuckerberg,Meta Platforms,LINKS_TO,,0
Mark Zuckerberg,Mi Shebeirach,LINKS_TO,,0
Mark Zuckerberg,Midtown Manhattan,LINKS_TO,,0
Mark Zuckerberg,Mike Schroepfer,LINKS_TO,,0
Mark Zuckerberg,MoveOn.org,LINKS_TO,,0
Mark Zuckerberg,New Hampshire,LINKS_TO,,0
Mark Zuckerberg,New Jersey,LINKS_TO,,0
Mark Zuckerberg,New York,LINKS_TO,,0
Mark Zuckerberg,New York (tiểu bang),LINKS_TO,,0
Mark Zuckerberg,Người Do Thái,LINKS_TO,,0
Mark Zuckerberg,Người Hồi giáo,LINKS_TO,,0
Mark Zuckerberg,Người Mỹ,LINKS_TO,,0
Mark Zuckerberg,Người Ukraina,LINKS_TO,,0
Mark Zuckerberg,Người nhập cư kỹ thuật số,LINKS_TO,,0
Mark Zuckerberg,Người thổi còi,LINKS_TO,,0
Mark Zuckerberg,Nhân vật của năm (tạp chí Time),LINKS_TO,,0
Mark Zuckerberg,Những chỉ trích về Facebook,LINKS_TO,,0
Mark Zuckerberg,Những mốc sự kiện của Facebook,LINKS_TO,,0
Mark Zuckerberg,Những thành quả của Facebook,LINKS_TO,,0
Mark Zuckerberg,Nút thích của Facebook,LINKS_TO,,0
Mark Zuckerberg,Nước Hồi giáo,LINKS_TO,,0
Mark Zuckerberg,Nền tảng của Facebook,LINKS_TO,,0
Mark Zuckerberg,Owen Van Natta,LINKS_TO,,0
Mark Zuckerberg,Peter Thiel,LINKS_TO,,0
Mark Zuckerberg,Phong trào Me Too,LINKS_TO,,0
Mark Zuckerberg,Phật giáo,LINKS_TO,,0
Mark Zuckerberg,Priscilla Chan,LINKS_TO,,0
Mark Zuckerberg,Priscilla Chan (nhà nhân đạo),LINKS_TO,,0
Mark Zuckerberg,Protest,LINKS_TO,,0
Mark Zuckerberg,Quân đội Hoa Kỳ,LINKS_TO,,0
Mark Zuckerberg,"Quận Westchester, New York",LINKS_TO,,0
Mark Zuckerberg,Quỹ Cộng đồng Thung lũng Silicon,LINKS_TO,,0
Mark Zuckerberg,Randi Zuckerberg,LINKS_TO,,0
Mark Zuckerberg,Rudy Giuliani,LINKS_TO,,0
Mark Zuckerberg,Scribe (log server),LINKS_TO,,0
Mark Zuckerberg,Sean Parker,LINKS_TO,,0
Mark Zuckerberg,Sherron Watkins,LINKS_TO,,0
Mark Zuckerberg,Sheryl Sandberg,LINKS_TO,,0
Mark Zuckerberg,Simon & Schuster,LINKS_TO,,0
Mark Zuckerberg,Sự cố Facebook ngừng hoạt động 2021,LINKS_TO,,0
Mark Zuckerberg,Sự cố Facebook ngừng hoạt động 2024,LINKS_TO,,0
Mark Zuckerberg,Taylor Swift,LINKS_TO,,0
Mark Zuckerberg,TechCrunch,LINKS_TO,,0
Mark Zuckerberg,Ted Ullyot,LINKS_TO,,0
Mark Zuckerberg,TheWrap,LINKS_TO,,0
Mark Zuckerberg,The Accidental Billionaires,LINKS_TO,,0
Mark Zuckerberg,The Chronicle of Philanthropy,LINKS_TO,,0
Mark Zuckerberg,The Daily Telegraph,LINKS_TO,,0
Mark Zuckerberg,The Guardian,LINKS_TO,,0
Mark Zuckerberg,The Harvard Crimson,LINKS_TO,,0
Mark Zuckerberg,The Hollywood Reporter,LINKS_TO,,0
Mark Zuckerberg,The League of Conservation Voters,LINKS_TO,,0
Mark Zuckerberg,The Mercury News,LINKS_TO,,0
Mark Zuckerberg,The New York Times,LINKS_TO,,0
Mark Zuckerberg,The Social Network,LINKS_TO,,0
Mark Zuckerberg,The Verge,LINKS_TO,,0
Mark Zuckerberg,The Wall Street Journal,LINKS_TO,,0
Mark Zuckerberg,The Washington Post,LINKS_TO,,0
Mark Zuckerberg,The Young Turks,LINKS_TO,,0
Mark Zuckerberg,Thiên Chúa giáo,LINKS_TO,,0
Mark Zuckerberg,Thành phố New York,LINKS_TO,,0
Mark Zuckerberg,Thảm sát Inn Din,LINKS_TO,,0
Mark Zuckerberg,Time (magazine),LINKS_TO,,0
Mark Zuckerberg,Tiếng Hebrew,LINKS_TO,,0
Mark Zuckerberg,Tiếng Hy Lạp cổ đại,LINKS_TO,,0
Mark Zuckerberg,Tiếng Latinh,LINKS_TO,,0
Mark Zuckerberg,Tiếng Pháp,LINKS_TO,,0
Mark Zuckerberg,Tiếng Trung Quốc,LINKS_TO,,0
Mark Zuckerberg,Tây Phi,LINKS_TO,,0
Mark Zuckerberg,Tị nạn,LINKS_TO,,0
Mark Zuckerberg,U.S. News & World Report,LINKS_TO,,0
Mark Zuckerberg,Vanity Fair (magazine),LINKS_TO,,0
Mark Zuckerberg,Virus Ebola,LINKS_TO,,0
Mark Zuckerberg,Vladimir Vladimirovich Putin,LINKS_TO,,0
Mark Zuckerberg,Volodymyr Oleksandrovych Zelenskyy,LINKS_TO,,0
Mark Zuckerberg,Vô thần,LINKS_TO,,0
Mark Zuckerberg,Wayback Machine,LINKS_TO,,0
Mark Zuckerberg,"White Plains, New York",LINKS_TO,,0
Mark Zuckerberg,Wikiquote,LINKS_TO,,0
Mark Zuckerberg,Wired (magazine),LINKS_TO,,0
Mark Zuckerberg,Wirehog,LINKS_TO,,0
Mark Zuckerberg,Áo,LINKS_TO,,0
Mark Zuckerberg,Đô la Mỹ,LINKS_TO,,0
Mark Zuckerberg,Đại dịch cúm 2009,LINKS_TO,,0
Mark Zuckerberg,Đại học California,LINKS_TO,,0
Mark Zuckerberg,Đại học Harvard,LINKS_TO,,0
Mark Zuckerberg,Đại học Johns Hopkins,LINKS_TO,,0
Mark Zuckerberg,Đạo Do Thái,LINKS_TO,,0
Mark Zuckerberg,Đấu kiếm,LINKS_TO,,0
Mark Zuckerberg,Đầu phiếu,LINKS_TO,,0
Mark Zuckerberg,Đặc điểm của Facebook,LINKS_TO,,0
Mark Zuckerberg,Đức,LINKS_TO,,0
Andrew McCollum,2004,LINKS_TO,,0
Andrew McCollum,2006,LINKS_TO,,0
Andrew McCollum,2007,LINKS_TO,,0
Andrew McCollum,Adam D'Angelo,LINKS_TO,,0
Andrew McCollum,Al Pacino,LINKS_TO,,0
Andrew McCollum,Andrei Alexandrescu,LINKS_TO,,0
Andrew McCollum,Apache Cassandra,LINKS_TO,,0
Andrew McCollum,Apache Hive,LINKS_TO,,0
Andrew McCollum,Apache Thrift,LINKS_TO,,0
Andrew McCollum,Bachelor of Science,LINKS_TO,,0
Andrew McCollum,Biểu tượng,LINKS_TO,,0
Andrew McCollum,Biểu đồ xã hội,LINKS_TO,,0
Andrew McCollum,Bret Taylor,LINKS_TO,,0
Andrew McCollum,California,LINKS_TO,,0
Andrew McCollum,Charlie Cheever,LINKS_TO,,0
Andrew McCollum,Chris Cox,LINKS_TO,,0
Andrew McCollum,Chris Hughes,LINKS_TO,,0
Andrew McCollum,Chris Kelly,LINKS_TO,,0
Andrew McCollum,Cổ phiếu,LINKS_TO,,0
Andrew McCollum,Donald E. Graham,LINKS_TO,,0
Andrew McCollum,Dustin Moskovitz,LINKS_TO,,0
Andrew McCollum,Eduardo Saverin,LINKS_TO,,0
Andrew McCollum,Elliot Schrage,LINKS_TO,,0
Andrew McCollum,Facebook,LINKS_TO,,0
Andrew McCollum,Facebook Beacon,LINKS_TO,,0
Andrew McCollum,Facebook Query Language,LINKS_TO,,0
Andrew McCollum,Gideon Yu,LINKS_TO,,0
Andrew McCollum,Harvard University,LINKS_TO,,0
Andrew McCollum,HipHop for PHP,LINKS_TO,,0
Andrew McCollum,Hiệu ứng Facebook (sách),LINKS_TO,,0
Andrew McCollum,Họa sĩ,LINKS_TO,,0
Andrew McCollum,Jim Breyer,LINKS_TO,,0
Andrew McCollum,Lịch sử của Facebook,LINKS_TO,,0
Andrew McCollum,M (trợ lý ảo),LINKS_TO,,0
Andrew McCollum,Marc Andreessen,LINKS_TO,,0
Andrew McCollum,Mark Zuckerberg,LINKS_TO,,0
Andrew McCollum,Master of Education,LINKS_TO,,0
Andrew McCollum,Matt Cohler,LINKS_TO,,0
Andrew McCollum,Meta Platforms,LINKS_TO,,0
Andrew McCollum,Mike Schroepfer,LINKS_TO,,0
Andrew McCollum,Nhà đầu tư thiên thần,LINKS_TO,,0
Andrew McCollum,Những chỉ trích về Facebook,LINKS_TO,,0
Andrew McCollum,Những mốc sự kiện của Facebook,LINKS_TO,,0
Andrew McCollum,Những thành quả của Facebook,LINKS_TO,,0
Andrew McCollum,Nút thích của Facebook,LINKS_TO,,0
Andrew McCollum,Nền tảng Meta,LINKS_TO,,0
Andrew McCollum,Nền tảng của Facebook,LINKS_TO,,0
Andrew McCollum,Owen Van Natta,LINKS_TO,,0
Andrew McCollum,Peter Thiel,LINKS_TO,,0
Andrew McCollum,Philo (công ty),LINKS_TO,,0
Andrew McCollum,Priscilla Chan,LINKS_TO,,0
Andrew McCollum,Randi Zuckerberg,LINKS_TO,,0
Andrew McCollum,Scribe (log server),LINKS_TO,,0
Andrew McCollum,Sean Parker,LINKS_TO,,0
Andrew McCollum,Sheryl Sandberg,LINKS_TO,,0
Andrew McCollum,Sự cố Facebook ngừng hoạt động 2021,LINKS_TO,,0
Andrew McCollum,Sự cố Facebook ngừng hoạt động 2024,LINKS_TO,,0
Andrew McCollum,Ted Ullyot,LINKS_TO,,0
Andrew McCollum,The Accidental Billionaires,LINKS_TO,,0
Andrew McCollum,The Social Network,LINKS_TO,,0
Andrew McCollum,Tháng chín,LINKS_TO,,0
Andrew McCollum,Tháng hai,LINKS_TO,,0
Andrew McCollum,Wayback Machine,LINKS_TO,,0
Andrew McCollum,Website,LINKS_TO,,0
Andrew McCollum,Wirehog,LINKS_TO,,0
Andrew McCollum,Đại học Harvard,LINKS_TO,,0
Andrew McCollum,Đặc điểm của Facebook,LINKS_TO,,0
Elon Musk,ACLU,LINKS_TO,,0
Elon Musk,Addie Wyatt,LINKS_TO,,0
Elon Musk,Adolf Hitler,LINKS_TO,,0
Elon Musk,Agence France-Presse,LINKS_TO,,0
Elon Musk,Alison Cheek,LINKS_TO,,0
Elon Musk,All Things D,LINKS_TO,,0
Elon Musk,AltaVista,LINKS_TO,,0
Elon Musk,Amber Heard,LINKS_TO,,0
Elon Musk,America PAC,LINKS_TO,,0
Elon Musk,Andrew Grove,LINKS_TO,,0
Elon Musk,Andrew Yang,LINKS_TO,,0
Elon Musk,Angela Merkel,LINKS_TO,,0
Elon Musk,Anwar Al-Sadad,LINKS_TO,,0
Elon Musk,Apollo 8,LINKS_TO,,0
Elon Musk,AsapScience,LINKS_TO,,0
Elon Musk,Associated Press,LINKS_TO,,0
Elon Musk,Automobile,LINKS_TO,,0
Elon Musk,BASIC,LINKS_TO,,0
Elon Musk,BBC News,LINKS_TO,,0
Elon Musk,Baby boomer,LINKS_TO,,0
Elon Musk,Barack Obama,LINKS_TO,,0
Elon Musk,Barbara Jordan,LINKS_TO,,0
Elon Musk,Ben Bernanke,LINKS_TO,,0
Elon Musk,Berliner Zeitung,LINKS_TO,,0
Elon Musk,Betty Ford,LINKS_TO,,0
Elon Musk,Bill Clinton,LINKS_TO,,0
Elon Musk,Bill Gates,LINKS_TO,,0
Elon Musk,Billie Jean King,LINKS_TO,,0
Elon Musk,Biểu tình phản đối Elon Musk,LINKS_TO,,0
Elon Musk,Bloomberg L.P.,LINKS_TO,,0
Elon Musk,Bono,LINKS_TO,,0
Elon Musk,Boring Test Tunnel,LINKS_TO,,0
Elon Musk,Bruce Leak,LINKS_TO,,0
Elon Musk,Business Insider,LINKS_TO,,0
Elon Musk,Bạn (Nhân vật của năm của tạp chí Time),LINKS_TO,,0
Elon Musk,Bảng chữ cái tiếng Anh,LINKS_TO,,0
Elon Musk,Bảo vệ môi trường,LINKS_TO,,0
Elon Musk,Bầu cử tổng thống Hoa Kỳ 2008,LINKS_TO,,0
Elon Musk,Bầu cử tổng thống Hoa Kỳ 2012,LINKS_TO,,0
Elon Musk,Bầu cử tổng thống Hoa Kỳ 2016,LINKS_TO,,0
Elon Musk,Bầu cử tổng thống Hoa Kỳ 2020,LINKS_TO,,0
Elon Musk,Bầu cử tổng thống Hoa Kỳ 2024,LINKS_TO,,0
Elon Musk,Bắt nạt,LINKS_TO,,0
Elon Musk,Bệnh Alzheimer,LINKS_TO,,0
Elon Musk,Bộ Hiệu quả Chính phủ,LINKS_TO,,0
Elon Musk,Bộ Hiệu quả Chính phủ (Hoa Kỳ),LINKS_TO,,0
Elon Musk,C-SPAN,LINKS_TO,,0
Elon Musk,CNN,LINKS_TO,,0
Elon Musk,California,LINKS_TO,,0
Elon Musk,Canada,LINKS_TO,,0
Elon Musk,Carla Anderson Hills,LINKS_TO,,0
Elon Musk,Carol Sutton,LINKS_TO,,0
Elon Musk,Charles Hard Townes,LINKS_TO,,0
Elon Musk,Charles Lindbergh,LINKS_TO,,0
Elon Musk,Charles Stark Draper,LINKS_TO,,0
Elon Musk,Charles de Gaulle,LINKS_TO,,0
Elon Musk,ChatGPT,LINKS_TO,,0
Elon Musk,Chiến tranh Iraq,LINKS_TO,,0
Elon Musk,Chuyên gia dinh dưỡng,LINKS_TO,,0
Elon Musk,Chính trị cực hữu,LINKS_TO,,0
Elon Musk,Chất gây nghiện,LINKS_TO,,0
Elon Musk,Chủ nghĩa Quốc xã,LINKS_TO,,0
Elon Musk,Chủ nghĩa môi trường,LINKS_TO,,0
Elon Musk,Citizens for Sanity,LINKS_TO,,0
Elon Musk,Coleen Rowley,LINKS_TO,,0
Elon Musk,Commodore VIC-20,LINKS_TO,,0
Elon Musk,Compaq,LINKS_TO,,0
Elon Musk,Condé Nast,LINKS_TO,,0
Elon Musk,Confinity,LINKS_TO,,0
Elon Musk,Corazon Aquino,LINKS_TO,,0
Elon Musk,Cuộc thanh trừng tháng 12 năm 2022 của Twitter,LINKS_TO,,0
Elon Musk,Cynthia Cooper (kế toán),LINKS_TO,,0
Elon Musk,Cơ điện tử,LINKS_TO,,0
Elon Musk,Cần sa,LINKS_TO,,0
Elon Musk,Cỏ Mỹ,LINKS_TO,,0
Elon Musk,Cổ phiếu,LINKS_TO,,0
Elon Musk,Cử nhân Khoa học,LINKS_TO,,0
Elon Musk,Cử nhân Nghệ thuật,LINKS_TO,,0
Elon Musk,Cử tri độc lập,LINKS_TO,,0
Elon Musk,David Ho (nhà khoa học),LINKS_TO,,0
Elon Musk,Dean Phillips,LINKS_TO,,0
Elon Musk,Der Spiegel,LINKS_TO,,0
Elon Musk,Destin Sandlin,LINKS_TO,,0
Elon Musk,Dianne Feinstein,LINKS_TO,,0
Elon Musk,Die Tageszeitung,LINKS_TO,,0
Elon Musk,Donald A. Glaser,LINKS_TO,,0
Elon Musk,Donald Trump,LINKS_TO,,0
Elon Musk,Du hành vũ trụ,LINKS_TO,,0
Elon Musk,Dwight D. Eisenhower,LINKS_TO,,0
