src_university,dst_university,relation
Đại học California tại Berkeley,Đại học Johns Hopkins,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học New York,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học Pennsylvania,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học Princeton,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học Nam California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học McGill,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học Toronto,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cao Ly,Đại học Quốc gia Seoul,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học California tại Berkeley,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Viện Công nghệ Georgia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Kansas,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Michigan,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Minnesota,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học North Carolina tại Chapel Hill,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Texas tại Austin,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Virginia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Washington,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Wisconsin–Madison,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Brown,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Viện Công nghệ California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Carnegie Mellon,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Chicago,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Cornell,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Duke,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Johns Hopkins,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học New York,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Pennsylvania,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Princeton,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Nam California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học McGill,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Toronto,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Thanh Hoa,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Nam Kinh,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Quốc gia Seoul,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Tokyo,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Viện Công nghệ California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Carnegie Mellon,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Georgetown,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học McGill,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Princeton,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học California tại Berkeley,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Chicago,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Pennsylvania,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Bocconi,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Luân Đôn,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Keio,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Chiết Giang,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Quốc gia Singapore,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Phục Đán,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Giao thông Thượng Hải,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bắc Kinh,Đại học Giao thông Tây An,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học California,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học Dartmouth,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Viện Công nghệ California,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học Tokyo,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học Nam California,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học California tại Berkeley,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Viện Công nghệ Georgia,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học Kansas,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học Michigan,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học Minnesota,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học North Carolina tại Chapel Hill,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học Texas tại Austin,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học Virginia,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học Washington,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học Wisconsin–Madison,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học Brown,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học Carnegie Mellon,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học Chicago,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học Cornell,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học Duke,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học Johns Hopkins,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học New York,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học Pennsylvania,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học Princeton,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học McGill,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Los Angeles",Đại học Toronto,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chiang Mai,Đại học Chulalongkorn,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chiang Mai,Đại học Srinakharinwirot,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chiang Mai,Đại học Thammasat,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Carnegie Mellon,Viện Công nghệ California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Carnegie Mellon,Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Carnegie Mellon,Đại học Georgetown,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Carnegie Mellon,Đại học McGill,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Carnegie Mellon,Đại học Princeton,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Carnegie Mellon,Đại học California tại Berkeley,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Carnegie Mellon,Đại học Chicago,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Carnegie Mellon,Đại học Pennsylvania,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Carnegie Mellon,Đại học Bocconi,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Carnegie Mellon,Đại học Luân Đôn,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Carnegie Mellon,Đại học Thanh Hoa,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Carnegie Mellon,Đại học Bắc Kinh,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Carnegie Mellon,Đại học Tokyo,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Carnegie Mellon,Đại học Keio,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Carnegie Mellon,Đại học Chiết Giang,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Carnegie Mellon,Đại học Quốc gia Singapore,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chulalongkorn,Đại học Indonesia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chulalongkorn,Đại học Gadjah Mada,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chulalongkorn,Đại học Malaya,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chulalongkorn,Đại học Philippines,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chulalongkorn,Đại học Yangon,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chulalongkorn,Đại học Quốc gia Singapore,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chulalongkorn,Đại học Chiang Mai,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chulalongkorn,Đại học Cần Thơ,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chulalongkorn,Đại học Srinakharinwirot,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chulalongkorn,Đại học Thammasat,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chicago,Đại học California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chicago,Đại học California tại Berkeley,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chicago,Viện Công nghệ Georgia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chicago,Đại học Kansas,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chicago,Đại học Michigan,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chicago,Đại học Minnesota,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chicago,Đại học North Carolina tại Chapel Hill,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chicago,Đại học Texas tại Austin,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chicago,Đại học Virginia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chicago,Đại học Washington,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chicago,Đại học Wisconsin–Madison,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chicago,Đại học Brown,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chicago,Viện Công nghệ California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chicago,Đại học Carnegie Mellon,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chicago,Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chicago,Đại học Cornell,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chicago,Đại học Duke,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chicago,Đại học Johns Hopkins,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chicago,Đại học New York,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chicago,Đại học Pennsylvania,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chicago,Đại học Princeton,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chicago,Đại học Nam California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chicago,Đại học McGill,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chicago,Đại học Toronto,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chiết Giang,Viện Khoa học Trung Quốc,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chiết Giang,Đại học Vũ Hán,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chiết Giang,Đại học Phục Đán,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chiết Giang,Đại học Sư phạm Hoa Đông,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chiết Giang,Đại học Nam Kinh,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chiết Giang,Viện Công nghệ California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chiết Giang,Đại học Carnegie Mellon,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chiết Giang,Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chiết Giang,Đại học Georgetown,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chiết Giang,Đại học McGill,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chiết Giang,Đại học Princeton,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chiết Giang,Đại học California tại Berkeley,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chiết Giang,Đại học Chicago,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chiết Giang,Đại học Pennsylvania,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chiết Giang,Đại học Bocconi,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chiết Giang,Đại học Luân Đôn,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chiết Giang,Đại học Thanh Hoa,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chiết Giang,Đại học Bắc Kinh,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chiết Giang,Đại học Tokyo,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chiết Giang,Đại học Keio,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Chiết Giang,Đại học Quốc gia Singapore,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Colgate,Đại học Cornell,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Copenhagen,Đại học Quốc gia Úc,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Copenhagen,Đại học Quốc gia Singapore,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Copenhagen,Đại học Bắc Kinh,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Copenhagen,Đại học California tại Berkeley,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Copenhagen,Đại học Tokyo,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Copenhagen,Đại học Giao thông Thượng Hải,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cornell,Đại học California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cornell,Đại học California tại Berkeley,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cornell,Viện Công nghệ Georgia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cornell,Đại học Kansas,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cornell,Đại học Michigan,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cornell,Đại học Minnesota,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cornell,Đại học North Carolina tại Chapel Hill,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cornell,Đại học Texas tại Austin,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cornell,Đại học Virginia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cornell,Đại học Washington,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cornell,Đại học Wisconsin–Madison,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cornell,Đại học Brown,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cornell,Viện Công nghệ California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cornell,Đại học Carnegie Mellon,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cornell,Đại học Chicago,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cornell,Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cornell,Đại học Duke,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cornell,Đại học Johns Hopkins,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cornell,Đại học New York,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cornell,Đại học Pennsylvania,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cornell,Đại học Princeton,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cornell,Đại học Nam California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cornell,Đại học McGill,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cornell,Đại học Toronto,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Cornell,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Viện Nghiên cứu Chính trị Paris,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Giao thông Thượng Hải,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,École nationale supérieure des mines de Paris,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học California tại Berkeley,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Viện Công nghệ Georgia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Kansas,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Michigan,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Minnesota,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học North Carolina tại Chapel Hill,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Texas tại Austin,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Virginia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Washington,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Wisconsin–Madison,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Brown,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Viện Công nghệ California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Carnegie Mellon,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Chicago,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Duke,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Johns Hopkins,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học New York,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Pennsylvania,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Princeton,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Nam California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học McGill,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Toronto,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Georgetown,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Bocconi,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Luân Đôn,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Thanh Hoa,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Bắc Kinh,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Tokyo,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Keio,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Chiết Giang,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Quốc gia Singapore,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cambridge,Đại học Luân Đôn,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cambridge,Đại học London,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cambridge,Đại học Edinburgh,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cambridge,Đại học Exeter,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cambridge,Đại học Glasgow,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cambridge,Đại học Nhà vua Luân Đôn,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cambridge,Đại học Leeds,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cambridge,Trường Kinh tế và Khoa học Chính trị Luân Đôn,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cambridge,Đại học Nottingham,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Công nghiệp Cáp Nhĩ Tân,Đại học Quốc gia Moskva,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Công nghiệp Cáp Nhĩ Tân,Đại học Phục Đán,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Công nghiệp Cáp Nhĩ Tân,Đại học Nam Kinh,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Công nghiệp Cáp Nhĩ Tân,Đại học Bắc Kinh,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Công nghiệp Cáp Nhĩ Tân,Đại học Giao thông Thượng Hải,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Công nghiệp Cáp Nhĩ Tân,Đại học Thanh Hoa,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Công nghiệp Cáp Nhĩ Tân,Đại học Giao thông Tây An,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Công nghiệp Cáp Nhĩ Tân,Đại học Chiết Giang,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cần Thơ,Đại học,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cần Thơ,Đại học Indonesia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cần Thơ,Đại học Gadjah Mada,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cần Thơ,Đại học Malaya,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cần Thơ,Đại học Philippines,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cần Thơ,Đại học Yangon,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cần Thơ,Đại học Quốc gia Singapore,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cần Thơ,Đại học Chulalongkorn,UNIVERSITY_MENTIONS_UNIVERSITY
