src_root,dst_person,relation
Barack Obama,Joe Biden,LINK_FROM_START
Barack Obama,George W. Bush,LINK_FROM_START
Barack Obama,Donald Trump,LINK_FROM_START
Barack Obama,Michelle Obama,LINK_FROM_START
Barack Obama,Hillary Clinton,LINK_FROM_START
Barack Obama,John McCain,LINK_FROM_START
Barack Obama,Mitt Romney,LINK_FROM_START
Barack Obama,Bill Clinton,LINK_FROM_START
Barack Obama,Paul Ryan,LINK_FROM_START
Barack Obama,Franklin D. Roosevelt,LINK_FROM_START
Barack Obama,Nancy Pelosi,LINK_FROM_START
Barack Obama,David Cameron,LINK_FROM_START
Barack Obama,Benjamin Netanyahu,LINK_FROM_START
Barack Obama,Dmitry Anatolyevich Medvedev,LINK_FROM_START
Barack Obama,David Petraeus,LINK_FROM_START
Barack Obama,Shimon Peres,LINK_FROM_START
Barack Obama,Bashar al-Assad,LINK_FROM_START
Barack Obama,Nelson Mandela,LINK_FROM_START
Barack Obama,Calvin Coolidge,LINK_FROM_START
Barack Obama,Ronald Reagan,LINK_FROM_START
Barack Obama,Margaret Thatcher,LINK_FROM_START
Barack Obama,Dick Cheney,LINK_FROM_START
Barack Obama,John Adams,LINK_FROM_START
Barack Obama,Thomas Jefferson,LINK_FROM_START
Barack Obama,James Madison,LINK_FROM_START
Barack Obama,James Monroe,LINK_FROM_START
Barack Obama,John Quincy Adams,LINK_FROM_START
Barack Obama,William Henry Harrison,LINK_FROM_START
Barack Obama,John Tyler,LINK_FROM_START
Barack Obama,James K. Polk,LINK_FROM_START
Barack Obama,James Buchanan,LINK_FROM_START
Barack Obama,Ulysses S. Grant,LINK_FROM_START
Barack Obama,Benjamin Harrison,LINK_FROM_START
Barack Obama,Theodore Roosevelt,LINK_FROM_START
Barack Obama,William Howard Taft,LINK_FROM_START
Barack Obama,Woodrow Wilson,LINK_FROM_START
Barack Obama,Herbert Hoover,LINK_FROM_START
Barack Obama,Dwight D. Eisenhower,LINK_FROM_START
Barack Obama,John F. Kennedy,LINK_FROM_START
Barack Obama,Richard Nixon,LINK_FROM_START
Barack Obama,Gerald Ford,LINK_FROM_START
Barack Obama,Jimmy Carter,LINK_FROM_START
Barack Obama,George H. W. Bush,LINK_FROM_START
Barack Obama,Charles G. Dawes,LINK_FROM_START
Barack Obama,Dag Hammarskjöld,LINK_FROM_START
Barack Obama,Henry Kissinger,LINK_FROM_START
Barack Obama,Satō Eisaku,LINK_FROM_START
Barack Obama,Menachem Begin,LINK_FROM_START
Barack Obama,Óscar Arias,LINK_FROM_START
Barack Obama,Mikhail Sergeyevich Gorbachyov,LINK_FROM_START
Barack Obama,Aung San Suu Kyi,LINK_FROM_START
Barack Obama,Mohamed ElBaradei,LINK_FROM_START
Barack Obama,Muhammad Yunus,LINK_FROM_START
Barack Obama,Martti Ahtisaari,LINK_FROM_START
Barack Obama,Ellen Johnson Sirleaf,LINK_FROM_START
Barack Obama,Juan Manuel Santos,LINK_FROM_START
Barack Obama,Abiy Ahmed,LINK_FROM_START
Barack Obama,Maria Ressa,LINK_FROM_START
Barack Obama,Rudy Giuliani,LINK_FROM_START
Barack Obama,Vladimir Vladimirovich Putin,LINK_FROM_START
Barack Obama,Angela Merkel,LINK_FROM_START
Barack Obama,Kamala Harris,LINK_FROM_START
Elon Musk,Donald Trump,LINK_FROM_START
Elon Musk,Isaac Asimov,LINK_FROM_START
Elon Musk,Barack Obama,LINK_FROM_START
Elon Musk,Hillary Clinton,LINK_FROM_START
Elon Musk,Joe Biden,LINK_FROM_START
Elon Musk,Ron DeSantis,LINK_FROM_START
Elon Musk,Franklin D. Roosevelt,LINK_FROM_START
Elon Musk,Winston Churchill,LINK_FROM_START
Elon Musk,Dwight D. Eisenhower,LINK_FROM_START
Elon Musk,Konrad Adenauer,LINK_FROM_START
Elon Musk,John Foster Dulles,LINK_FROM_START
Elon Musk,Charles de Gaulle,LINK_FROM_START
Elon Musk,John F. Kennedy,LINK_FROM_START
Elon Musk,Richard Nixon,LINK_FROM_START
Elon Musk,Henry Kissinger,LINK_FROM_START
Elon Musk,Jimmy Carter,LINK_FROM_START
Elon Musk,Đặng Tiểu Bình,LINK_FROM_START
Elon Musk,Ronald Reagan,LINK_FROM_START
Elon Musk,Mikhail Sergeyevich Gorbachyov,LINK_FROM_START
Elon Musk,George H. W. Bush,LINK_FROM_START
Elon Musk,Bill Clinton,LINK_FROM_START
Elon Musk,Nelson Mandela,LINK_FROM_START
Elon Musk,Newt Gingrich,LINK_FROM_START
Elon Musk,George W. Bush,LINK_FROM_START
Elon Musk,Rudy Giuliani,LINK_FROM_START
Elon Musk,Vladimir Vladimirovich Putin,LINK_FROM_START
Elon Musk,Angela Merkel,LINK_FROM_START
Elon Musk,Maria Ressa,LINK_FROM_START
Elon Musk,Kamala Harris,LINK_FROM_START
Mark Zuckerberg,Rudy Giuliani,LINK_FROM_START
Mark Zuckerberg,George W. Bush,LINK_FROM_START
Mark Zuckerberg,Vladimir Vladimirovich Putin,LINK_FROM_START
Mark Zuckerberg,Barack Obama,LINK_FROM_START
Mark Zuckerberg,Angela Merkel,LINK_FROM_START
Mark Zuckerberg,Donald Trump,LINK_FROM_START
Mark Zuckerberg,Maria Ressa,LINK_FROM_START
Mark Zuckerberg,Joe Biden,LINK_FROM_START
Mark Zuckerberg,Kamala Harris,LINK_FROM_START
Bill Gates,Harry R. Lewis,LINK_FROM_START
Bill Gates,Franklin D. Roosevelt,LINK_FROM_START
Bill Gates,Winston Churchill,LINK_FROM_START
Bill Gates,Dwight D. Eisenhower,LINK_FROM_START
Bill Gates,Konrad Adenauer,LINK_FROM_START
Bill Gates,John Foster Dulles,LINK_FROM_START
Bill Gates,Charles de Gaulle,LINK_FROM_START
Bill Gates,John F. Kennedy,LINK_FROM_START
Bill Gates,Richard Nixon,LINK_FROM_START
Bill Gates,Henry Kissinger,LINK_FROM_START
Bill Gates,Jimmy Carter,LINK_FROM_START
Bill Gates,Đặng Tiểu Bình,LINK_FROM_START
Bill Gates,Ronald Reagan,LINK_FROM_START
Bill Gates,Mikhail Sergeyevich Gorbachyov,LINK_FROM_START
Bill Gates,George H. W. Bush,LINK_FROM_START
Bill Gates,Bill Clinton,LINK_FROM_START
Bill Gates,Nelson Mandela,LINK_FROM_START
Bill Gates,Newt Gingrich,LINK_FROM_START
Bill Gates,George W. Bush,LINK_FROM_START
Bill Gates,Rudy Giuliani,LINK_FROM_START
Bill Gates,Vladimir Vladimirovich Putin,LINK_FROM_START
Bill Gates,Barack Obama,LINK_FROM_START
Bill Gates,Angela Merkel,LINK_FROM_START
Bill Gates,Donald Trump,LINK_FROM_START
Bill Gates,Maria Ressa,LINK_FROM_START
Bill Gates,Joe Biden,LINK_FROM_START
Bill Gates,Kamala Harris,LINK_FROM_START
Jeff Bezos,Jimmy Carter,LINK_FROM_START
Jeff Bezos,Đặng Tiểu Bình,LINK_FROM_START
Jeff Bezos,Ronald Reagan,LINK_FROM_START
Jeff Bezos,Mikhail Sergeyevich Gorbachyov,LINK_FROM_START
Jeff Bezos,George H. W. Bush,LINK_FROM_START
Jeff Bezos,Bill Clinton,LINK_FROM_START
Jeff Bezos,Nelson Mandela,LINK_FROM_START
Jeff Bezos,Newt Gingrich,LINK_FROM_START
Jeff Bezos,George W. Bush,LINK_FROM_START
Tim Cook,Barack Obama,LINK_FROM_START
Sheryl Sandberg,Lawrence Summers,LINK_FROM_START
Sheryl Sandberg,Bill Clinton,LINK_FROM_START
Sheryl Sandberg,Michelle Obama,LINK_FROM_START
Malala Yousafzai,Ban Ki-moon,LINK_FROM_START
Angela Merkel,Horst Köhler,LINK_FROM_START
Angela Merkel,Guido Westerwelle,LINK_FROM_START
Angela Merkel,Sigmar Gabriel,LINK_FROM_START
Angela Merkel,Olaf Scholz,LINK_FROM_START
Angela Merkel,Wolfgang Schäuble,LINK_FROM_START
Angela Merkel,Helmut Kohl,LINK_FROM_START
Angela Merkel,Condoleezza Rice,LINK_FROM_START
Angela Merkel,Margaret Thatcher,LINK_FROM_START
Angela Merkel,Jacques Chirac,LINK_FROM_START
Angela Merkel,Robert Mugabe,LINK_FROM_START
Angela Merkel,Otto von Bismarck,LINK_FROM_START
Angela Merkel,Joseph Goebbels,LINK_FROM_START
Angela Merkel,Konrad Adenauer,LINK_FROM_START
Angela Merkel,Helmut Schmidt,LINK_FROM_START
Angela Merkel,Franklin D. Roosevelt,LINK_FROM_START
Angela Merkel,Winston Churchill,LINK_FROM_START
Angela Merkel,Dwight D. Eisenhower,LINK_FROM_START
Angela Merkel,John Foster Dulles,LINK_FROM_START
Angela Merkel,Charles de Gaulle,LINK_FROM_START
Angela Merkel,John F. Kennedy,LINK_FROM_START
Angela Merkel,Richard Nixon,LINK_FROM_START
Angela Merkel,Henry Kissinger,LINK_FROM_START
Angela Merkel,Jimmy Carter,LINK_FROM_START
Angela Merkel,Đặng Tiểu Bình,LINK_FROM_START
Angela Merkel,Ronald Reagan,LINK_FROM_START
Angela Merkel,Mikhail Sergeyevich Gorbachyov,LINK_FROM_START
Angela Merkel,George H. W. Bush,LINK_FROM_START
Angela Merkel,Bill Clinton,LINK_FROM_START
Angela Merkel,Nelson Mandela,LINK_FROM_START
Angela Merkel,Newt Gingrich,LINK_FROM_START
Angela Merkel,George W. Bush,LINK_FROM_START
Angela Merkel,Rudy Giuliani,LINK_FROM_START
Angela Merkel,Vladimir Vladimirovich Putin,LINK_FROM_START
Angela Merkel,Barack Obama,LINK_FROM_START
Angela Merkel,Donald Trump,LINK_FROM_START
Angela Merkel,Maria Ressa,LINK_FROM_START
Angela Merkel,Joe Biden,LINK_FROM_START
Angela Merkel,Kamala Harris,LINK_FROM_START
Emmanuel Macron,Édouard Philippe,LINK_FROM_START
Emmanuel Macron,Gabriel Attal,LINK_FROM_START
Emmanuel Macron,Michel Barnier,LINK_FROM_START
Emmanuel Macron,François Hollande,LINK_FROM_START
Emmanuel Macron,Manuel Valls,LINK_FROM_START
Emmanuel Macron,John F. Kennedy,LINK_FROM_START
Emmanuel Macron,Marine Le Pen,LINK_FROM_START
Emmanuel Macron,Nicolas Sarkozy,LINK_FROM_START
Emmanuel Macron,Bill Clinton,LINK_FROM_START
Emmanuel Macron,Jacques Chaban-Delmas,LINK_FROM_START
Emmanuel Macron,Sigmar Gabriel,LINK_FROM_START
Emmanuel Macron,Angela Merkel,LINK_FROM_START
Emmanuel Macron,Jean Casimir-Perier,LINK_FROM_START
Emmanuel Macron,Émile Loubet,LINK_FROM_START
Emmanuel Macron,Armand Fallières,LINK_FROM_START
Emmanuel Macron,Raymond Poincaré,LINK_FROM_START
Emmanuel Macron,Paul Deschanel,LINK_FROM_START
Emmanuel Macron,Alexandre Millerand,LINK_FROM_START
Emmanuel Macron,Gaston Doumergue,LINK_FROM_START
Emmanuel Macron,Paul Doumer,LINK_FROM_START
Emmanuel Macron,Charles de Gaulle,LINK_FROM_START
Emmanuel Macron,Georges Pompidou,LINK_FROM_START
Emmanuel Macron,Valéry Giscard d'Estaing,LINK_FROM_START
Emmanuel Macron,François Mitterrand,LINK_FROM_START
Emmanuel Macron,Jacques Chirac,LINK_FROM_START
Emmanuel Macron,Olaf Scholz,LINK_FROM_START
Emmanuel Macron,Ishiba Shigeru,LINK_FROM_START
Emmanuel Macron,Keir Starmer,LINK_FROM_START
Emmanuel Macron,Donald Trump,LINK_FROM_START
Emmanuel Macron,Charles Michel,LINK_FROM_START
Emmanuel Macron,Kaja Kallas,LINK_FROM_START
Emmanuel Macron,Kyriakos Mitsotakis,LINK_FROM_START
Emmanuel Macron,Evika Siliņa,LINK_FROM_START
Emmanuel Macron,Robert Abela,LINK_FROM_START
Emmanuel Macron,Mark Rutte,LINK_FROM_START
Emmanuel Macron,Donald Tusk,LINK_FROM_START
Emmanuel Macron,António Costa,LINK_FROM_START
Emmanuel Macron,Klaus Iohannis,LINK_FROM_START
Emmanuel Macron,Janez Janša,LINK_FROM_START
Emmanuel Macron,Pedro Sánchez,LINK_FROM_START
Emmanuel Macron,Magdalena Andersson,LINK_FROM_START
Emmanuel Macron,Javier Milei,LINK_FROM_START
Emmanuel Macron,Tập Cận Bình,LINK_FROM_START
Emmanuel Macron,Droupadi Murmu,LINK_FROM_START
Emmanuel Macron,Joko Widodo,LINK_FROM_START
Emmanuel Macron,Sergio Mattarella,LINK_FROM_START
Emmanuel Macron,Andrés Manuel López Obrador,LINK_FROM_START
Emmanuel Macron,Yoon Suk-yeol,LINK_FROM_START
Emmanuel Macron,Recep Tayyip Erdoğan,LINK_FROM_START
Emmanuel Macron,Frederik X của Đan Mạch,LINK_FROM_START
Emmanuel Macron,Giáo hoàng Lêô XIV,LINK_FROM_START
Taylor Swift,F. Scott Fitzgerald,LINK_FROM_START
Taylor Swift,William Wordsworth,LINK_FROM_START
Taylor Swift,Sam Lansky,LINK_FROM_START
Taylor Swift,Donald Trump,LINK_FROM_START
Taylor Swift,Joe Biden,LINK_FROM_START
Taylor Swift,Kamala Harris,LINK_FROM_START
Đại học Harvard,Donald Trump,LINK_FROM_START
Đại học Harvard,Barack Obama,LINK_FROM_START
Đại học Harvard,John Hancock,LINK_FROM_START
Đại học Harvard,John Adams,LINK_FROM_START
Đại học Harvard,John Quincy Adams,LINK_FROM_START
Đại học Harvard,Theodore Roosevelt,LINK_FROM_START
Đại học Harvard,John F. Kennedy,LINK_FROM_START
Đại học Harvard,George W. Bush,LINK_FROM_START
Đại học Harvard,Michelle Obama,LINK_FROM_START
Đại học Harvard,David Lloyd Johnston,LINK_FROM_START
Đại học Harvard,Juan Manuel Santos,LINK_FROM_START
Đại học Harvard,Lý Hiển Long,LINK_FROM_START
Đại học Harvard,Benjamin Netanyahu,LINK_FROM_START
Đại học Harvard,Ban Ki-moon,LINK_FROM_START
Đại học Harvard,Leonard Bernstein,LINK_FROM_START
Đại học Oxford,John Henry Newman,LINK_FROM_START
Đại học Oxford,Michelangelo,LINK_FROM_START
Đại học Oxford,Ronald Reagan,LINK_FROM_START
Đại học Oxford,Jimmy Carter,LINK_FROM_START
Đại học Oxford,Richard Nixon,LINK_FROM_START
Đại học Oxford,Bill Clinton,LINK_FROM_START
Đại học Oxford,Winston Churchill,LINK_FROM_START
Đại học Oxford,Margaret Thatcher,LINK_FROM_START
Đại học Oxford,David Cameron,LINK_FROM_START
Đại học Oxford,Clement Attlee,LINK_FROM_START
Đại học Oxford,Bob Hawke,LINK_FROM_START
Đại học Oxford,John Turner,LINK_FROM_START
Đại học Oxford,Indira Gandhi,LINK_FROM_START
Đại học Oxford,Álvaro Uribe,LINK_FROM_START
Đại học Oxford,Abhisit Vejjajiva,LINK_FROM_START
Đại học Oxford,Aung San Suu Kyi,LINK_FROM_START
Đại học Oxford,Dr. Seuss,LINK_FROM_START
Đại học Oxford,Lewis Carroll,LINK_FROM_START
Đại học Oxford,Robert Bridges,LINK_FROM_START
Đại học Oxford,Amartya Sen,LINK_FROM_START
Đại học Cambridge,Winston Churchill,LINK_FROM_START
Đại học Cambridge,Theodore Roosevelt,LINK_FROM_START
Đại học Cambridge,Ronald Reagan,LINK_FROM_START
Đại học Cambridge,Jawaharlal Nehru,LINK_FROM_START
Đại học Cambridge,William Wilberforce,LINK_FROM_START
Đại học Cambridge,Ralph Vaughan Williams,LINK_FROM_START
Đại học Cambridge,William Wordsworth,LINK_FROM_START
Đại học Yale,Woodrow Wilson,LINK_FROM_START
Đại học Yale,John F. Kennedy,LINK_FROM_START
Đại học Yale,Gerald Ford,LINK_FROM_START
Đại học Yale,Bill Clinton,LINK_FROM_START
Đại học Yale,George W. Bush,LINK_FROM_START
Đại học Yale,Howard Dean,LINK_FROM_START
Đại học Yale,Jerry Brown,LINK_FROM_START
Đại học Yale,William Howard Taft,LINK_FROM_START
Đại học Yale,George H. W. Bush,LINK_FROM_START
Đại học Yale,John C. Calhoun,LINK_FROM_START
Đại học Yale,Hillary Clinton,LINK_FROM_START
Đại học Yale,Dean Acheson,LINK_FROM_START
Đại học Yale,F. Scott Fitzgerald,LINK_FROM_START
