person_title,person_url
A. Peter Dewey,https://vi.wikipedia.org/wiki/A._Peter_Dewey
Aaron Swartz,https://vi.wikipedia.org/wiki/Aaron_Swartz
Abdullah Ensour,https://vi.wikipedia.org/wiki/Abdullah_Ensour
Abhijit Banerjee,https://vi.wikipedia.org/wiki/Abhijit_Banerjee
Ada Osakwe,https://vi.wikipedia.org/wiki/Ada_Osakwe
Adam Riess,https://vi.wikipedia.org/wiki/Adam_Riess
Adriana Cisneros,https://vi.wikipedia.org/wiki/Adriana_Cisneros
Agata Passent,https://vi.wikipedia.org/wiki/Agata_Passent
Aharon Barak,https://vi.wikipedia.org/wiki/Aharon_Barak
Ajit Pai,https://vi.wikipedia.org/wiki/Ajit_Pai
Akiva Goldsman,https://vi.wikipedia.org/wiki/Akiva_Goldsman
Alan Greenspan,https://vi.wikipedia.org/wiki/Alan_Greenspan
Alan Krueger,https://vi.wikipedia.org/wiki/Alan_Krueger
Alberto Alesina,https://vi.wikipedia.org/wiki/Alberto_Alesina
Alexander Berzin,https://vi.wikipedia.org/wiki/Alexander_Berzin
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig
Alexander Hamilton,https://vi.wikipedia.org/wiki/Alexander_Hamilton
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin
Alexander Wendt,https://vi.wikipedia.org/wiki/Alexander_Wendt
Alfred G. Gilman,https://vi.wikipedia.org/wiki/Alfred_G._Gilman
Alfred Kinsey,https://vi.wikipedia.org/wiki/Alfred_Kinsey
Alfred Sturtevant,https://vi.wikipedia.org/wiki/Alfred_Sturtevant
Alicia Keys,https://vi.wikipedia.org/wiki/Alicia_Keys
Allan Hendry,https://vi.wikipedia.org/wiki/Allan_Hendry
Allan Lichtman,https://vi.wikipedia.org/wiki/Allan_Lichtman
Allan Spear,https://vi.wikipedia.org/wiki/Allan_Spear
Allen Ginsberg,https://vi.wikipedia.org/wiki/Allen_Ginsberg
Alsarah,https://vi.wikipedia.org/wiki/Alsarah
Alvin E. Roth,https://vi.wikipedia.org/wiki/Alvin_E._Roth
Amanda Labarca,https://vi.wikipedia.org/wiki/Amanda_Labarca
Amanda Nguyễn,https://vi.wikipedia.org/wiki/Amanda_Nguy%E1%BB%85n
Amanda Peet,https://vi.wikipedia.org/wiki/Amanda_Peet
Amemiya Takeshi,https://vi.wikipedia.org/wiki/Amemiya_Takeshi
Aminta Granera,https://vi.wikipedia.org/wiki/Aminta_Granera
Amos Tversky,https://vi.wikipedia.org/wiki/Amos_Tversky
Amy Chua,https://vi.wikipedia.org/wiki/Amy_Chua
Amy Mainzer,https://vi.wikipedia.org/wiki/Amy_Mainzer
An-My Lê,https://vi.wikipedia.org/wiki/An-My_L%C3%AA
Ananda Mahidol,https://vi.wikipedia.org/wiki/Ananda_Mahidol
Anderson Cooper,https://vi.wikipedia.org/wiki/Anderson_Cooper
Andrea M. Ghez,https://vi.wikipedia.org/wiki/Andrea_M._Ghez
Andreas Papandreou,https://vi.wikipedia.org/wiki/Andreas_Papandreou
Andrew Fire,https://vi.wikipedia.org/wiki/Andrew_Fire
Andrew McCollum,https://vi.wikipedia.org/wiki/Andrew_McCollum
André Aciman,https://vi.wikipedia.org/wiki/Andr%C3%A9_Aciman
Anna Christina Nobre,https://vi.wikipedia.org/wiki/Anna_Christina_Nobre
Anna Paquin,https://vi.wikipedia.org/wiki/Anna_Paquin
Anne Applebaum,https://vi.wikipedia.org/wiki/Anne_Applebaum
Anne Henrietta Martin,https://vi.wikipedia.org/wiki/Anne_Henrietta_Martin
Anthony Lake,https://vi.wikipedia.org/wiki/Anthony_Lake
Anthony Perkins,https://vi.wikipedia.org/wiki/Anthony_Perkins
Antonin Scalia,https://vi.wikipedia.org/wiki/Antonin_Scalia
Aravind Adiga,https://vi.wikipedia.org/wiki/Aravind_Adiga
Ariana Austin Makonnen,https://vi.wikipedia.org/wiki/Ariana_Austin_Makonnen
Armen Alchian,https://vi.wikipedia.org/wiki/Armen_Alchian
Arno Allan Penzias,https://vi.wikipedia.org/wiki/Arno_Allan_Penzias
Arnold Zellner,https://vi.wikipedia.org/wiki/Arnold_Zellner
Arora Akanksha,https://vi.wikipedia.org/wiki/Arora_Akanksha
Art Feltman,https://vi.wikipedia.org/wiki/Art_Feltman
Art Garfunkel,https://vi.wikipedia.org/wiki/Art_Garfunkel
Arthur Cronquist,https://vi.wikipedia.org/wiki/Arthur_Cronquist
Arthur Miller,https://vi.wikipedia.org/wiki/Arthur_Miller
Arthur T. Benjamin,https://vi.wikipedia.org/wiki/Arthur_T._Benjamin
Ashraf Ghani,https://vi.wikipedia.org/wiki/Ashraf_Ghani
Ashton Carter,https://vi.wikipedia.org/wiki/Ashton_Carter
Asō Tarō,https://vi.wikipedia.org/wiki/As%C5%8D_Tar%C5%8D
Audre Lorde,https://vi.wikipedia.org/wiki/Audre_Lorde
Augustus Hopkins Strong,https://vi.wikipedia.org/wiki/Augustus_Hopkins_Strong
Auliʻi Cravalho,https://vi.wikipedia.org/wiki/Auli%CA%BBi_Cravalho
Aziza Chaouni,https://vi.wikipedia.org/wiki/Aziza_Chaouni
B. F. Skinner,https://vi.wikipedia.org/wiki/B._F._Skinner
Ban Ki-moon,https://vi.wikipedia.org/wiki/Ban_Ki-moon
Barack Obama,https://vi.wikipedia.org/wiki/Barack_Obama
Barbara Mulwana,https://vi.wikipedia.org/wiki/Barbara_Mulwana
Beekman Winthrop,https://vi.wikipedia.org/wiki/Beekman_Winthrop
Bellamy Young,https://vi.wikipedia.org/wiki/Bellamy_Young
Ben Bernanke,https://vi.wikipedia.org/wiki/Ben_Bernanke
Ben Carson,https://vi.wikipedia.org/wiki/Ben_Carson
Ben Roy Mottelson,https://vi.wikipedia.org/wiki/Ben_Roy_Mottelson
Benazir Bhutto,https://vi.wikipedia.org/wiki/Benazir_Bhutto
Bengt Holmström,https://vi.wikipedia.org/wiki/Bengt_Holmstr%C3%B6m
Benjamin Graham,https://vi.wikipedia.org/wiki/Benjamin_Graham
Benjamin Lee Whorf,https://vi.wikipedia.org/wiki/Benjamin_Lee_Whorf
Benjamin Netanyahu,https://vi.wikipedia.org/wiki/Benjamin_Netanyahu
Benjamin Widom,https://vi.wikipedia.org/wiki/Benjamin_Widom
Bernhard của Oranje-Nassau,https://vi.wikipedia.org/wiki/Bernhard_c%E1%BB%A7a_Oranje-Nassau
Bertil Ohlin,https://vi.wikipedia.org/wiki/Bertil_Ohlin
Bhimrao Ambedkar,https://vi.wikipedia.org/wiki/Bhimrao_Ambedkar
Bill Clinton,https://vi.wikipedia.org/wiki/Bill_Clinton
Bill Condon,https://vi.wikipedia.org/wiki/Bill_Condon
Bill Gates,https://vi.wikipedia.org/wiki/Bill_Gates
Bill Gates Sr.,https://vi.wikipedia.org/wiki/Bill_Gates_Sr.
Binh Danh,https://vi.wikipedia.org/wiki/Binh_Danh
Birendra của Nepal,https://vi.wikipedia.org/wiki/Birendra_c%E1%BB%A7a_Nepal
Bob Dylan,https://vi.wikipedia.org/wiki/Bob_Dylan
Bob Lazar,https://vi.wikipedia.org/wiki/Bob_Lazar
Bob Sternfels,https://vi.wikipedia.org/wiki/Bob_Sternfels
Bob Taft,https://vi.wikipedia.org/wiki/Bob_Taft
Bob Woodward,https://vi.wikipedia.org/wiki/Bob_Woodward
Bradley Cooper,https://vi.wikipedia.org/wiki/Bradley_Cooper
Brandi Rhodes,https://vi.wikipedia.org/wiki/Brandi_Rhodes
Bret Taylor,https://vi.wikipedia.org/wiki/Bret_Taylor
Brett Giroir,https://vi.wikipedia.org/wiki/Brett_Giroir
Brian Coyle,https://vi.wikipedia.org/wiki/Brian_Coyle
Brian P. Schmidt,https://vi.wikipedia.org/wiki/Brian_P._Schmidt
Bruce Henderson,https://vi.wikipedia.org/wiki/Bruce_Henderson
Bruno Maddox,https://vi.wikipedia.org/wiki/Bruno_Maddox
Buckminster Fuller,https://vi.wikipedia.org/wiki/Buckminster_Fuller
Burton Richter,https://vi.wikipedia.org/wiki/Burton_Richter
Buzz Aldrin,https://vi.wikipedia.org/wiki/Buzz_Aldrin
Bích Minh Nguyễn,https://vi.wikipedia.org/wiki/B%C3%ADch_Minh_Nguy%E1%BB%85n
Bùi Mẫn Hân,https://vi.wikipedia.org/wiki/B%C3%B9i_M%E1%BA%ABn_H%C3%A2n
Bùi Thanh Sơn,https://vi.wikipedia.org/wiki/B%C3%B9i_Thanh_S%C6%A1n
Bạc Qua Qua,https://vi.wikipedia.org/wiki/B%E1%BA%A1c_Qua_Qua
Cameron Kerry,https://vi.wikipedia.org/wiki/Cameron_Kerry
Carl DeMaio,https://vi.wikipedia.org/wiki/Carl_DeMaio
Carl Reiner,https://vi.wikipedia.org/wiki/Carl_Reiner
Carl Wieman,https://vi.wikipedia.org/wiki/Carl_Wieman
Carly Fiorina,https://vi.wikipedia.org/wiki/Carly_Fiorina
Carlyle Alan Thayer,https://vi.wikipedia.org/wiki/Carlyle_Alan_Thayer
Caroline Kennedy,https://vi.wikipedia.org/wiki/Caroline_Kennedy
Carolyn R. Bertozzi,https://vi.wikipedia.org/wiki/Carolyn_R._Bertozzi
Carter Bays,https://vi.wikipedia.org/wiki/Carter_Bays
Casey Affleck,https://vi.wikipedia.org/wiki/Casey_Affleck
Cathy O'Neil,https://vi.wikipedia.org/wiki/Cathy_O%27Neil
Chad Trujillo,https://vi.wikipedia.org/wiki/Chad_Trujillo
Chadchart Sittipunt,https://vi.wikipedia.org/wiki/Chadchart_Sittipunt
Charles Bailyn,https://vi.wikipedia.org/wiki/Charles_Bailyn
Charles Berlitz,https://vi.wikipedia.org/wiki/Charles_Berlitz
Charles Brenton Huggins,https://vi.wikipedia.org/wiki/Charles_Brenton_Huggins
Charles Francis Richter,https://vi.wikipedia.org/wiki/Charles_Francis_Richter
Charles Herschel Sisam,https://vi.wikipedia.org/wiki/Charles_Herschel_Sisam
Charles Ives,https://vi.wikipedia.org/wiki/Charles_Ives
Charles J. Pedersen,https://vi.wikipedia.org/wiki/Charles_J._Pedersen
Charles McDermott,https://vi.wikipedia.org/wiki/Charles_McDermott
Charles Sanders Peirce,https://vi.wikipedia.org/wiki/Charles_Sanders_Peirce
Charles William Eliot,https://vi.wikipedia.org/wiki/Charles_William_Eliot
Charles Yanofsky,https://vi.wikipedia.org/wiki/Charles_Yanofsky
Charlie Cheever,https://vi.wikipedia.org/wiki/Charlie_Cheever
Charlton Heston,https://vi.wikipedia.org/wiki/Charlton_Heston
Chelsea Clinton,https://vi.wikipedia.org/wiki/Chelsea_Clinton
Chierika Ukogu,https://vi.wikipedia.org/wiki/Chierika_Ukogu
Chimamanda Ngozi Adichie,https://vi.wikipedia.org/wiki/Chimamanda_Ngozi_Adichie
Chris Clark (chính khách),https://vi.wikipedia.org/wiki/Chris_Clark_%28ch%C3%ADnh_kh%C3%A1ch%29
Chris Cox,https://vi.wikipedia.org/wiki/Chris_Cox
Chris Hughes,https://vi.wikipedia.org/wiki/Chris_Hughes
Chris Kolb,https://vi.wikipedia.org/wiki/Chris_Kolb
"Chris Smith, Nam tước Smith xứ Finsbury",https://vi.wikipedia.org/wiki/Chris_Smith%2C_Nam_t%C6%B0%E1%BB%9Bc_Smith_x%E1%BB%A9_Finsbury
Chris Ward (chính khách Mỹ),https://vi.wikipedia.org/wiki/Chris_Ward_%28ch%C3%ADnh_kh%C3%A1ch_M%E1%BB%B9%29
Christianne Meneses Jacobs,https://vi.wikipedia.org/wiki/Christianne_Meneses_Jacobs
Christina Romer,https://vi.wikipedia.org/wiki/Christina_Romer
Christophe Beck,https://vi.wikipedia.org/wiki/Christophe_Beck
Christopher A. Sims,https://vi.wikipedia.org/wiki/Christopher_A._Sims
Christopher Mellon,https://vi.wikipedia.org/wiki/Christopher_Mellon
Christopher W. Grady,https://vi.wikipedia.org/wiki/Christopher_W._Grady
Christopher Yost,https://vi.wikipedia.org/wiki/Christopher_Yost
Chrystia Freeland,https://vi.wikipedia.org/wiki/Chrystia_Freeland
Chu Tự Tề,https://vi.wikipedia.org/wiki/Chu_T%E1%BB%B1_T%E1%BB%81
Châu Kình Văn,https://vi.wikipedia.org/wiki/Ch%C3%A2u_K%C3%ACnh_V%C4%83n
Clara López Obregón,https://vi.wikipedia.org/wiki/Clara_L%C3%B3pez_Obreg%C3%B3n
Clark Gregg,https://vi.wikipedia.org/wiki/Clark_Gregg
Claude Shannon,https://vi.wikipedia.org/wiki/Claude_Shannon
Cleve Moler,https://vi.wikipedia.org/wiki/Cleve_Moler
"Cleveland Abbe, Jr.",https://vi.wikipedia.org/wiki/Cleveland_Abbe%2C_Jr.
Clifford Geertz,https://vi.wikipedia.org/wiki/Clifford_Geertz
Clinton D. Burdick,https://vi.wikipedia.org/wiki/Clinton_D._Burdick
Clinton Hart Merriam,https://vi.wikipedia.org/wiki/Clinton_Hart_Merriam
Cole Porter,https://vi.wikipedia.org/wiki/Cole_Porter
Conan O'Brien,https://vi.wikipedia.org/wiki/Conan_O%27Brien
Cornell Woolrich,https://vi.wikipedia.org/wiki/Cornell_Woolrich
Craig Hickman,https://vi.wikipedia.org/wiki/Craig_Hickman
Craig Mello,https://vi.wikipedia.org/wiki/Craig_Mello
Craig Thomas,https://vi.wikipedia.org/wiki/Craig_Thomas
Crane Brinton,https://vi.wikipedia.org/wiki/Crane_Brinton
Curtis T. McMullen,https://vi.wikipedia.org/wiki/Curtis_T._McMullen
Cyrus Vance,https://vi.wikipedia.org/wiki/Cyrus_Vance
Damien Chazelle,https://vi.wikipedia.org/wiki/Damien_Chazelle
Dan Mintz,https://vi.wikipedia.org/wiki/Dan_Mintz
Dan Smith,https://vi.wikipedia.org/wiki/Dan_Smith
Dana Delany,https://vi.wikipedia.org/wiki/Dana_Delany
Dani Rodrik,https://vi.wikipedia.org/wiki/Dani_Rodrik
Daniel D. Tompkins,https://vi.wikipedia.org/wiki/Daniel_D._Tompkins
Daniel Ellsberg,https://vi.wikipedia.org/wiki/Daniel_Ellsberg
Daniel Goldhagen,https://vi.wikipedia.org/wiki/Daniel_Goldhagen
Daniel Handler,https://vi.wikipedia.org/wiki/Daniel_Handler
Daniel McFadden,https://vi.wikipedia.org/wiki/Daniel_McFadden
Daniel McKee,https://vi.wikipedia.org/wiki/Daniel_McKee
Daniel Noboa,https://vi.wikipedia.org/wiki/Daniel_Noboa
Daniel Passent,https://vi.wikipedia.org/wiki/Daniel_Passent
Daniel Quillen,https://vi.wikipedia.org/wiki/Daniel_Quillen
Dariia Oleksandrivna Zarivna,https://vi.wikipedia.org/wiki/Dariia_Oleksandrivna_Zarivna
Darren Criss,https://vi.wikipedia.org/wiki/Darren_Criss
David B. Shear,https://vi.wikipedia.org/wiki/David_B._Shear
David Burtka,https://vi.wikipedia.org/wiki/David_Burtka
David Bushnell,https://vi.wikipedia.org/wiki/David_Bushnell
David Campos,https://vi.wikipedia.org/wiki/David_Campos
David Duchovny,https://vi.wikipedia.org/wiki/David_Duchovny
David Eppstein,https://vi.wikipedia.org/wiki/David_Eppstein
David Goss,https://vi.wikipedia.org/wiki/David_Goss
David Gross,https://vi.wikipedia.org/wiki/David_Gross
David Halberstam,https://vi.wikipedia.org/wiki/David_Halberstam
David Heyman,https://vi.wikipedia.org/wiki/David_Heyman
David J. Wineland,https://vi.wikipedia.org/wiki/David_J._Wineland
David Jay,https://vi.wikipedia.org/wiki/David_Jay
David L. Rabinowitz,https://vi.wikipedia.org/wiki/David_L._Rabinowitz
David Lloyd Johnston,https://vi.wikipedia.org/wiki/David_Lloyd_Johnston
David Mumford,https://vi.wikipedia.org/wiki/David_Mumford
David O. Selznick,https://vi.wikipedia.org/wiki/David_O._Selznick
David Paterson,https://vi.wikipedia.org/wiki/David_Paterson
David Petraeus,https://vi.wikipedia.org/wiki/David_Petraeus
David Schwimmer,https://vi.wikipedia.org/wiki/David_Schwimmer
Dean Acheson,https://vi.wikipedia.org/wiki/Dean_Acheson
Denis McDonough,https://vi.wikipedia.org/wiki/Denis_McDonough
Dennis Ritchie,https://vi.wikipedia.org/wiki/Dennis_Ritchie
Dennis Showalter,https://vi.wikipedia.org/wiki/Dennis_Showalter
Deval Patrick,https://vi.wikipedia.org/wiki/Deval_Patrick
Diana Shelstad,https://vi.wikipedia.org/wiki/Diana_Shelstad
Diệp Tuấn Vinh,https://vi.wikipedia.org/wiki/Di%E1%BB%87p_Tu%E1%BA%A5n_Vinh
Donald J. Cram,https://vi.wikipedia.org/wiki/Donald_J._Cram
Donella Meadows,https://vi.wikipedia.org/wiki/Donella_Meadows
Doug Burgum,https://vi.wikipedia.org/wiki/Doug_Burgum
Dudley R. Herschbach,https://vi.wikipedia.org/wiki/Dudley_R._Herschbach
Dustin Moskovitz,https://vi.wikipedia.org/wiki/Dustin_Moskovitz
E. E. Cummings,https://vi.wikipedia.org/wiki/E._E._Cummings
E. L. Doctorow,https://vi.wikipedia.org/wiki/E._L._Doctorow
E. O. Wilson,https://vi.wikipedia.org/wiki/E._O._Wilson
Ed Harris,https://vi.wikipedia.org/wiki/Ed_Harris
Edgar Schein,https://vi.wikipedia.org/wiki/Edgar_Schein
Edmund Heller,https://vi.wikipedia.org/wiki/Edmund_Heller
Edmund Phelps,https://vi.wikipedia.org/wiki/Edmund_Phelps
Eduardo Saverin,https://vi.wikipedia.org/wiki/Eduardo_Saverin
Edward Adelbert Doisy,https://vi.wikipedia.org/wiki/Edward_Adelbert_Doisy
Edward B. Lewis,https://vi.wikipedia.org/wiki/Edward_B._Lewis
Edward Calvin Kendall,https://vi.wikipedia.org/wiki/Edward_Calvin_Kendall
Edward Chamberlin,https://vi.wikipedia.org/wiki/Edward_Chamberlin
Edward Dickinson,https://vi.wikipedia.org/wiki/Edward_Dickinson
Edward Kasner,https://vi.wikipedia.org/wiki/Edward_Kasner
Edward MacDowell,https://vi.wikipedia.org/wiki/Edward_MacDowell
Edward Mills Purcell,https://vi.wikipedia.org/wiki/Edward_Mills_Purcell
Edward Norton,https://vi.wikipedia.org/wiki/Edward_Norton
Edward Said,https://vi.wikipedia.org/wiki/Edward_Said
Edward Thorndike,https://vi.wikipedia.org/wiki/Edward_Thorndike
Ehud Barak,https://vi.wikipedia.org/wiki/Ehud_Barak
Elbridge Durbrow,https://vi.wikipedia.org/wiki/Elbridge_Durbrow
Elbridge Gerry,https://vi.wikipedia.org/wiki/Elbridge_Gerry
Elias James Corey,https://vi.wikipedia.org/wiki/Elias_James_Corey
Eliza Myrie,https://vi.wikipedia.org/wiki/Eliza_Myrie
Ellsworth Huntington,https://vi.wikipedia.org/wiki/Ellsworth_Huntington
Eloísa García Etchegoyhen,https://vi.wikipedia.org/wiki/Elo%C3%ADsa_Garc%C3%ADa_Etchegoyhen
Emanuel Pastreich,https://vi.wikipedia.org/wiki/Emanuel_Pastreich
Emmy Rossum,https://vi.wikipedia.org/wiki/Emmy_Rossum
Ephraim Katzir,https://vi.wikipedia.org/wiki/Ephraim_Katzir
Eric Allin Cornell,https://vi.wikipedia.org/wiki/Eric_Allin_Cornell
Eric Ly,https://vi.wikipedia.org/wiki/Eric_Ly
Eric Maskin,https://vi.wikipedia.org/wiki/Eric_Maskin
Eric Ries,https://vi.wikipedia.org/wiki/Eric_Ries
Eric Trump,https://vi.wikipedia.org/wiki/Eric_Trump
Erich Kunzel,https://vi.wikipedia.org/wiki/Erich_Kunzel
Erich Segal,https://vi.wikipedia.org/wiki/Erich_Segal
Ernest Lawrence,https://vi.wikipedia.org/wiki/Ernest_Lawrence
Ertharin Cousin,https://vi.wikipedia.org/wiki/Ertharin_Cousin
Eva Njenga,https://vi.wikipedia.org/wiki/Eva_Njenga
Evan Spiegel,https://vi.wikipedia.org/wiki/Evan_Spiegel
Fareed Zakaria,https://vi.wikipedia.org/wiki/Fareed_Zakaria
